,Unnamed: 0,TopSongs,lyrics,MBTI
0,0,Sza - love galore,"Love Galore Lyrics[Part I]. . [Intro: Travis Scott]. I need, I need. I need, I need. I need, I need. I need, I need. I need, I need. . [Chorus: SZA]. Love, love, love, love. Long as we got. Love, love, love, oh. Long as we got. [Verse 1: SZA & Travis Scott]. Done with these niggas, I don't love these niggas. I dust off these niggas, do it for fun. Don't take it personal. Personally, I'm surprised you called me after the things I said. Skrrt, skrrt on niggas (Yeah), skrrt up on niggas (True). Skrrt down, you actin' like me (Yeah). Actin' like we wasn't more than a summer fling. I said farewell, you took it well (True). Promise I won't cry over spilled milk (Ooh, no, I won't). Give me a paper towel, gimme another Valium. Give me another hour or two, hour with you. Why you bother me when you know you don't want me? (Yeah). Why you bother me when you know you got a woman? (Yeah). Why you hit me when you know you know better? (True). Know you know better (True). Know your crew better than you do. Call me, lookin' for ya (Yeah), I be lookin' for ya (Yeah). Got me lookin' forward to weekends. With you, baby, with you, baby. With you, baby (True), with you. We do whatever we want, go wherever we want. Love however we want, it don't matter (True). You do whatever I want, get whatever I want. Get whatever I need, it's about. [Chorus: SZA]. Love, love, love, love. Long as we got. Love, love, love, oh. Long as we got. . [Verse 2: SZA & Travis Scott]. Should have never gave you my number, I did it with you (Ooh). Should have never let you hit it, I split it with you. I regret it, you gots a fetish. You gots a problem, now it's a problem, oh, no. Skrrt, skrrt on bitches (Yeah). I don't know these bitches (Yeah). Dig dirt on bitches, do it for fun. Don't take it personal, baby. Love on my ladies, luh-love to my ladies, uh (True). Dated a few (Straight up). . [Verse 3: Travis Scott & SZA]. Why you bother me? Why you bother me? Why you bother me? (Why you bother me? Yeah). Last time I checked, you were the one that left (The one). Me in a wreck (Yeah), me in a mess (Yeah, yeah). You all I rep (Yeah), like my side I rep (Yeah). Yeah, that's that Mo City that side, that you can't come 'round at night, yeah (It's lit). You like to get me high, you don't want no one beside ya. You like when I make fire, you say, ""La Flame, keep makin' fire"" (Ooh). Let me cum inside ya, let me plant that seed inside ya (Ooh). Ass and titties, titties, only thing that stuck with, with me (With me). Only thing that was real, only thing I could feel, ya feel me? (Yeah, feel me?). So why you bother me, why you bother me? (With you, baby). Tryna catch a P.O.V., yeah (With you). [Chorus: SZA]. Love, love, love, love. Long as we got. Love, love, love, oh. Long as we got (Love). . [Part II]. . [Verse 4: SZA]. I came to your city, lookin' for lovin' and licky. 'Cause you promised to put it down. All up in your city, lookin' for you, uh. Searchin' for you like love. Only thing keepin' me from droppin' you right now. Right now (Love). Only thing keepin' me by your side. Only thing keepin' me by your side now. . [Outro: Norma Rowe]. But see, Solána, if you don't say somethin', speak up for yourself. They think you stupid, you know what I'm sayin'?175Embed",ENFJ
1,1,Lucky daye - over,"Over Lyrics[Verse 1]. Every time we link up, it's only us there. We're thinking, will we get there?. Is it wrong? Is it right?. You know that I miss you, but I be getting mixed signals. Why you slow down? Don't stop this green light. . [Pre-Chorus]. Now you calling me special. When you know I can't have you. When I'm on to the next one. Oh, now you wan' get aggressive. Ooh, fuck do you mean?. You keep on making me leave. Nightmares turned into a dream. If you're so toxic to me, what am I fiending?. [Chorus]. 'Cause I thought it was over. Got me thinking my feelings over. You keep doing it over and over. You keep calling me back. I'm just tryna gеt closure. But you pulling me closer and closеr. Phone ringing, like, over and over. 'Cause you keep calling me back. La-la-la-la-la-la-la. Why you keep calling me back? Back?. . [Verse 2]. Love me, then you switch up. I'd rather we never pick up. But can we slip up and mix up sometimes?. You say you don't mean it, just want it when it's convenient. Am I crazy for waiting? I might slide. . [Pre-Chorus]. Now you calling me special. When you know I can't have you. When I'm on to the next one. Oh, now you wan' get aggressive. Oh, fuck do you mean?. You keep on making me leave. Nightmares turned into a dream. If you're so toxic to me, what am I fiending?. Related SongsFuckin’ SoundLucky DayeIntermissionLucky DayeCan You Blame MeKehlani[Chorus]. 'Cause I thought it was over. Got me thinking my feelings over. You keep doing it over and over. You keep calling me back. I'm just tryna get closure. But you pulling me closer and closer. Phone ringing, like, over and over. 'Cause you keep calling me back. La-la-la-la-la-la-la. Why you keep calling me back? Back?. . [Bridge]. Now you walking on a thin line. We been through it, like, ten times. I'ma put you in line. Yeah, I had you on a incline. Now I don't even wanna reply. I'ma have to decline. . [Outro]. (Yeah) You show me I don't wanna rewind. (Yeah) Know you a ten, but that attitude ain't fine12Embed",ENFJ
2,2,Summer Walker & Usher - Come Thru,"Come Thru Lyrics[Intro]. We got London on da Track. . [Verse 1: Summer Walker]. I should've known better. Can't even pretend like I don't want it again. On the brain all the time. Thinkin' of all the things that we did. You did somethin' (Come through, quarter after two). 'Cause shit like this don't happen too often. It's the way you put it down (Come through, quarter after two). I don't want no one else around. [Pre-Chorus: Summer Walker]. Got me takin' a step on the wild side. Cuttin' all ties. With them other guys. Way you, way you look in my eyes. Lovin' me nice and slow. . [Chorus: Summer Walker]. You make me wanna come through. Quarter after two. Just to put it down on you. You make me wanna replay. All of the things. That you and me, we do. You make me wanna come through. Quarter after two. Just to put it down on you. You make me wanna replay. All of the things. That you and me, we do. . [Post-Chorus: Summer Walker]. Look at what you make me wanna do (Yeah, yeah, yeah). I'll drop all my niggas for you (Woah, woah, woah). Got my feelings runnin' on a loop (Yeah, yeah, yeah). This ain't what I'm really used to (Woah, woah, woah). [Verse 2: Usher]. (You make me wanna, wanna, wanna). Before anything happens between us. Be sure you're ten toes down before I pull out this car (Pull it). And the only thing that's comin' beside me. Out this situation is you waitin' to get some more (Oh, get it). I told you, I'ma take you places (Whoa). I seen it in your face (Yeah, yeah). And I knew that you would say this. So how you wanna play this?. Yeah, you got somebody (Yeah). I been in this predicament (Uh). Don't trip, creep discrete. That's just what we dealin' with. . [Chorus: Usher & Summer Walker, Both]. (You make me wanna, wanna, wanna). You make me wanna come through. Quarter after two. Just to put it down on you. You make me wanna replay (Oh). All of the things (Oh). That you and me, we do (Woo). (You make me wanna, wanna). You make me wanna come through. Quarter after two. Just to put it down on you (No, don't you, babe). You make me wanna replay. All of the things (All of the things). That you and me, we do (Ooh). (You make me wanna, wanna). [Post-Chorus: Summer Walker & Usher]. Look at what you make me wanna do (Oh). I'll drop all my niggas for you (For sure). Got my feelings runnin' on a loop (Ooh, baby). This ain't what I'm really used to (Woah, woah, woah). . [Outro: Usher]. (You make me wanna, wanna, wanna). Ain't what you used to, but you used to. Oh, oh. Oh. (You make me wanna, wanna, wanna). New relationship too, this is what you do. Think about her, cuddle up. Love her11Embed",ENFJ
3,3,Jhene aiko - while we're young,"While We’re Young Lyrics[Verse 1]. Baby, while we're young. I think we should do something crazy. Like say, ""Fuck everyone"". And just run away from the daily routine. Yeah, you know what I mean. . [Pre-Chorus]. I'm tellin' everybody you're mine and I like it. And I really hope you don't mind, I can't fight it. No, you know I cannot hide it 'cause I am so excited. That I finally decided on you. 'Cause it's been another perfect day with ya. Wanna lay with ya. Spend the night with ya. Then spend my life with ya, alright. Alright, alright. Yeah you heard me right. [Chorus]. I'll go everywhere you go. (I'll go everywhere you go). You know I'll go, I'll go. Everywhere you go. (I'll go everywhere you go). You know I'll go, I'll go. Everywhere you go. (I'll go everywhere you go. You know I'll go, I'll go). Everywhere you go. (I'll go everywhere you go. You know I'll go, I'll go). . [Verse 2]. Uh. Baby while we're young we should just have fun. We should just do whatever we want. And tell everyone that we fell in love with each other. Ooh, that we found the one in one another. . [Pre-Chorus]. I'm tellin' everybody you're mine and I like it (I like it). And I really hope you don't mind, I can't fight it (don't fight it). No, you know I cannot hide it 'cause I am so excited. That I finally decided on you (oh yeah). 'Cause it's been another perfect day with ya (perfect day). Wanna lay with ya (wanna lay). Spend the night with ya. Spend my life with you, alright. You know I'm down to ride. (You know I am down to ride. You know I am down to ride). [Bridge]. I'm giving you my heart, please don't break it. Take it and lock it up and put me in your pocket, love. Alright, right by your side. . [Chorus]. I'll go everywhere you go. (I'll go everywhere you go). You know I'll go, I'll go. Everywhere you go. (I'll go everywhere you go). You know I'll go, I'll go. Everywhere you go. (I'll go everywhere you go). You know I'll go, you know I'll go. You know I'll go. (I'll go everywhere you go. You know I'll go, I'll go, ooh). . [Outro]. Baby, while we're young. We should rush and do something dumb. We should, we should, we should. We should just say ""Fuck everyone"". And walk hand in hand to the sun30Embed",ENFJ
4,4,"Slchld - she likes spring, i prefer winter","​she likes spring, i prefer winter Lyrics[Verse]. Stay by the fire. You're giving looks like you're telling me I'm faded. It's cold outside (Cold outside). But spring's in the corner and I'm waiting. On the way to work, she saw the flowers bloomin' up. Tellin' me how winter sucks for you. What more that I can do?. But we met this year last season. That's why it's so memorable for me. We've worked so hard to where we be. And that's enough for me right now. [Pre-Chorus]. What you've been dyin' to see. But you be that flower for me. I prefer marigold. But it's the lily from the valley that you want. What you've been dyin' to see. But you be that flower for me. I prefer marigold. But it's the lily from the valley that you want (Want). But I'd be so glad if I'm havin' you. For this moment, yeah. For this moment, yeah, yeah. . [Chorus]. Girl, give it up, give it up, give it up, give it up, that's it. Don't let it hurt, let it hurt, let it hurt, nothing left to feel. Winter or spring, it don't matter to me. As long as you're here. I can keep you warm 'til spring comes. Yeah. . [Bridge]. Jasmine marigold winters, oh yeah. Whichever blooms first, I might call you by that. Whatever you like. Daffodil or tulips, 'cause I really don't mind. If that makes you happy, then I'll be (I'll be). Happy too (Happy too), oh. Jasmine marigold winters, oh yeah. Whichever blooms first, I might call you by that. Whatever you like. Daffodil or tulips, 'cause I really don't mind. [Chorus]. Girl, give it up, give it up, give it up, give it up, that's it. Don't let it hurt, let it hurt, let it hurt, nothing left to feel. Winter or spring, it don't matter to me. As long as you're here. I can keep you warm 'til spring comes (Ohh-oh). Girl, give it up, give it up, give it up, give it up, that's it. Don't let it hurt, let it hurt, let it hurt, nothing left to feel (Feel). Winter or spring it don't matter to me (To me). As long as you're here. I can keep you warm 'til spring comes. Yeah4Embed",ENFJ
5,5,The Rembrandts - I'll be there for you,"I’ll Be There for You Lyrics[Verse 1]. So no one told you life was gonna be this way. Your job's a joke, you're broke, your love life's D.O.A. It's like you're always stuck in second gear. When it hasn't been your day, your week. Your month, or even your year, but. . [Chorus]. I'll be there for you. (When the rain starts to pour). I'll be there for you. (Like I've been there before). I'll be there for you. ('Cause you're there for me too). [Verse 2]. You're still in bed at ten and work began at eight. You've burned your breakfast, so far things are going great. Your mother warned you there'd be days like these. But she didn't tell you when the world has brought. You down to your knees that. . [Chorus]. I'll be there for you. (When the rain starts to pour). I'll be there for you. (Like I've been there before). I'll be there for you. ('Cause you're there for me too). . [Bridge]. No one could ever know me. No one could ever see me. Seems you're the only one who knows. What it's like to be me. Someone to face the day with. Make it through all the rest with. Someone I'll always laugh with. Even at my worst, I'm best with you, yeah. . [Middle 8]. It's like you're always stuck in second gear. When it hasn't been your day, your week. Your month, or even your year. [Chorus]. I'll be there for you. (When the rain starts to pour). I'll be there for you. (Like I've been there before). I'll be there for you. ('Cause you're there for me too). . [Outro]. I'll be there for you. I'll be there for you. I'll be there for you. ('Cause you're there for me too)21Embed",INFJ
6,6,Twenty One Pilots - Stressed Out,"Stressed Out Lyrics[Verse 1]. I wish I found some better sounds no one's ever heard. I wish I had a better voice that sang some better words. I wish I found some chords in an order that is new. I wish I didn't have to rhyme every time I sang. I was told, when I get older, all my fears would shrink. But now I'm insecure, and I care what people think. . [Pre-Chorus]. My name's Blurryface and I care what you think. My name's Blurryface and I care what you think. [Chorus]. Wish we could turn back time to the good old days. When our momma sang us to sleep, but now we're stressed out. (Oh) Wish we could turn back time (Oh) to the good old days (Oh). When our momma sang us to sleep, but now we're stressed out. We're stressed out. . [Verse 2]. Sometimes a certain smell will take me back to when I was young. How come I'm never able to identify where it's comin' from?. I'd make a candle out of it, if I ever found it. Try to sell it, never sell out of it, I'd probably only sell one. It'd be to my brother, 'cause we have the same nose. Same clothes, homegrown, a stone's throw from a creek we used to roam. But it would remind us of when nothing really mattered. Out of student loans and treehouse homes, we all would take the latter. . [Pre-Chorus]. My-my-my name's Blurryface and I care what you think. My name's Blurryface and I care what you think. . [Chorus]. Wish we could turn back time to the good old days. When our momma sang us to sleep, but now we're stressed out. (Oh) Wish we could turn back time (Oh) to the good old days (Oh). When our momma sang us to sleep, but now we're stressed out. [Bridge]. We used to play pretend, give each other different names. We would build a rocket ship an' then we'd fly it far away. Used to dream of outer space, but now they're laughin' at our face. Sayin', ""Wake up, you need to make money!,"" yeah. We used to play pretend, give each other different names. We would build a rocket ship an' then we'd fly it far away. Used to dream of outer space, but now they're laughin' at our face. Sayin', ""Wake up, you need to make money!,"" yeah. . [Chorus]. Wish we could turn back time to the good old days. When our momma sang us to sleep, but now we're stressed out. (Oh) Wish we could turn back time (Oh) to the good old days (Oh). When our momma sang us to sleep, but now we're stressed out. [Outro]. We used to play pretend, used to play pretend, money. We used to play pretend, wake up, you need the money. Used to play pretend, used to play pretend, money. We used to play pretend, wake up, you need the money. Used to play pretend, give each other different names. We would build a rocket ship and then we'd fly it far away. Used to dream of outer space, but now they're laughin' at our face. Sayin', ""Wake up, you need to make money!,"" yeah514Embed",INFJ
7,7,The Weeknd - Starboy,"Starboy Lyrics[Intro]. Ayy. . [Verse 1]. I'm tryna put you in the worst mood, ah. P1 cleaner than your church shoes, ah. Milli point two just to hurt you, ah. All red Lamb' just to tease you, ah. None of these toys on lease too, ah. Made your whole year in a week too, yah. Main bitch outta your league too, ah. Side bitch outta your league too, ah. [Pre-Chorus]. House so empty, need a centerpiece. Twenty racks a table, cut from ebony. Cut that ivory into skinny pieces. Then she clean it with her face, man, I love my baby, ah. You talkin' money, need a hearin' aid. You talkin' 'bout me, I don't see the shade. Switch up my style, I take any lane. I switch up my cup, I kill any pain. . [Chorus]. (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha). Look what you've done. (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha). I'm a motherfuckin' starboy. (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha). Look what you've done. (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha). I'm a motherfuckin' starboy. . [Verse 2]. Every day, a nigga try to test me, ah. Every day, a nigga try to end me, ah. Pull off in that Roadster SV, ah. Pockets overweight, gettin' hefty, ah. Comin' for the king, that's a far cry, I. I come alive in the fall time, I. The competition, I don't really listen. I'm in the blue Mulsanne, bumpin' New Edition. [Pre-Chorus]. House so empty, need a centerpiece. Twenty racks a table, cut from ebony. Cut that ivory into skinny pieces. Then she clean it with her face, man, I love my baby, ah. You talkin' money, need a hearin' aid. You talkin' 'bout me, I don't see the shade. Switch up my style, I take any lane. I switch up my cup, I kill any pain. . [Chorus]. (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha). Look what you've done. (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha). I'm a motherfuckin' starboy. (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha). Look what you've done. (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha). I'm a motherfuckin' starboy. . [Verse 3]. Let a nigga brag Pitt. Legend of the fall, took the year like a bandit. Bought Mama a crib and a brand new wagon. Now she hit the grocery shop lookin' lavish. Star Trek roof in that Wraith of Khan. Girls get loose when they hear this song. A hundred on the dash get me close to God. We don't pray for love, we just pray for cars. [Pre-Chorus]. House so empty, need a centerpiece. Twenty racks a table, cut from ebony. Cut that ivory into skinny pieces. Then she clean it with her face, man, I love my baby, ah. You talkin' money, need a hearin' aid. You talkin' 'bout me, I don't see the shade. Switch up my style, I take any lane. I switch up my cup, I kill any pain. . [Chorus]. (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha). Look what you've done. (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha). I'm a motherfuckin' starboy. (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha). Look what you've done. (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha). I'm a motherfuckin' starboy. (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha). Look what you've done. (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha). I'm a motherfuckin' starboy. (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha). Look what you've done. (Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha). I'm a motherfuckin' starboy610Embed",INFJ
8,8,HONNE - La La La That's How It Goes,"​la la la that’s how it goes Lyrics[Verse 1]. I won't give up on you. If you will never give up on me. Anytime that you're off the beat. I'll put you on the groove and in key. I'm following you. If you are always following me. Anytime that you hum it wrong. I'll help you sing the right melody. . [Chorus]. It goes. La la la, la la la la la. La la la, la la la la la. Ooh, ooh. That's how it goes. [Verse 2]. If things go bad for you. Then things are going bad for me. We're in this thing together. I couldn't think of a better team. And when the world gets heavy. The weight has got you down on your knees. It's okay to say, ""F it"". If you just remember this melody. . [Chorus]. It goes. La la la, la la la la la. La la la, la la la la la. Ooh, ooh. It goes. La la la, la la la la la. La la la, la la la la la. Ooh, ooh. That's how it goes. . [Bridge]. When the cloud's above your head. And the sun's not breaking through. You know I'll be there to sing this song for you. [Chorus]. And it goes. La la la, la la la la la. La la la, la la la la la (Oh). That's how it goes. . [Outro]. La la la, la la la la la (That's how it goes). La la la, la la la la la (That's how it goes). La la la, la la la la la (That's how it goes). La la la, la la la la la (That's how it goes). La la la, la la la la la (That's how it goes). La la la, la la la la la (That's how it goes)2Embed",INFJ
9,9,Taylor Swift - Shake It Off,"Shake It Off Lyrics[Verse 1]. I stay out too late. Got nothing in my brain. That's what people say, mmm-mmm. That's what people say, mmm-mmm. I go on too many dates. But I can't make them stay. At least that's what people say, mmm-mmm. That's what people say, mmm-mmm. . [Pre-Chorus]. But I keep cruisin'. Can't stop, won't stop movin'. It's like I got this music in my mind. Sayin', ""It's gonna be alright"". [Chorus]. 'Cause the players gonna play, play, play, play, play. And the haters gonna hate, hate, hate, hate, hate. Baby, I'm just gonna shake, shake, shake, shake, shake. I shake it off, I shake it off. Heartbreakers gonna break, break, break, break, break. And the fakers gonna fake, fake, fake, fake, fake. Baby, I'm just gonna shake, shake, shake, shake, shake. I shake it off, I shake it off. . [Verse 2]. I never miss a beat. I'm lightnin' on my feet. And that's what they don't see, mmm-mmm. That's what they don't see, mmm-mmm. I'm dancin' on my own (Dancin' on my own). I make the moves up as I go (Moves up as I go). And that's what they don't know, mmm-mmm. That's what they don't know, mmm-mmm. . [Pre-Chorus]. But I keep cruisin'. Can't stop, won't stop groovin'. It's like I got this music in my mind. Sayin', ""It's gonna be alright"". Related SongsI Wish You WouldTaylor SwiftAll You Had to Do Was StayTaylor SwiftAll Too Well (10 Minute Version) (Taylor’s Version) [From the Vault]Taylor Swift[Chorus]. 'Cause the players gonna play, play, play, play, play. And the haters gonna hate, hate, hate, hate, hate. Baby, I'm just gonna shake, shake, shake, shake, shake. I shake it off, I shake it off. Heartbreakers gonna break, break, break, break, break. And the fakers gonna fake, fake, fake, fake, fake. Baby, I'm just gonna shake, shake, shake, shake, shake. I shake it off, I shake it off. . [Post-Chorus]. Shake it off, I shake it off. I, I, I shake it off, I shake it off. I, I, I shake it off, I shake it off. I, I, I shake it off, I shake it off. . [Interlude]. Hey, hey, hey. Just think, while you've been gettin' down and out about the liars. And the dirty, dirty cheats of the world. You could've been gettin' down. To this sick beat. . [Bridge]. My ex-man brought his new girlfriend. She's like, ""Oh my God!"" But I'm just gonna shake. And to the fella over there with the hella good hair. Won't you come on over, baby?. We can shake, shake, shake. Yeah, oh, oh, oh. [Chorus]. 'Cause the players gonna play, play, play, play, play. And the haters gonna hate, hate, hate, hate, hate. (Haters gonna hate). Baby, I'm just gonna shake, shake, shake, shake, shake. I shake it off, I shake it off (Ha!). Heartbreakers gonna break, break, break, break, break (Mmm). And the fakers gonna fake, fake, fake, fake, fake. (And fake, and fake, and fake). Baby, I'm just gonna shake, shake, shake, shake, shake. I shake it off, I shake it off (I, I, I). . [Post-Chorus]. Shake it off, I shake it off. I, I, I shake it off, I shake it off. I, I, I shake it off, I shake it off. I, I, I shake it off, I shake it off. Shake it off, I shake it off. I, I, I shake it off, I shake it off. I, I, I shake it off, I shake it off. I, I, I shake it off, I shake it off (Yeah!). Shake it off, I shake it off. I, I, I shake it off, I shake it off (You got to). I, I, I shake it off, I shake it off. I, I, I shake it off, I shake it off. [Video directed by Mark Romanek]231Embed",INFJ
